,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
15,35,47,.427,18.0,108.6,112.0,-3.23,1998,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,1998,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1998,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,1998,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,1998,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,1998,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,1998,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,1998,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,1998,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,1998,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,1998,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,1998,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,1998,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1998,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,1998,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,1998,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,1998,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,1998,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,1998,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,1999,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,1999,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,1999,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,1999,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,1999,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Central Division
6,51,31,.622,—,115.5,112.1,3.22,1999,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,1999,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,1999,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,1999,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,1999,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,1999,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,1999,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,1999,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,1999,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,1999,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,1999,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,1999,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,1999,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,1999,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,1999,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,1999,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,1999,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1999,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,1999,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,1999,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,1999,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,1999,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,1999,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,1999,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,1999,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,1999,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,1999,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,1999,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,1999,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2000,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2000,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2000,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2000,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2000,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2000,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2000,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2000,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2000,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2000,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2000,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2000,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2000,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2000,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2000,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2000,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2000,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2000,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2000,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2000,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2000,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2000,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2000,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2000,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2000,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2000,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2000,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2000,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2000,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2000,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2000,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2000,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2000,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2000,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2000,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2001,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2001,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2001,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2001,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2001,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2001,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2001,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2001,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2001,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2001,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2001,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2001,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2001,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2001,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2001,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2001,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2001,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2001,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2001,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2001,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2001,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2001,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2001,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2001,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2001,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2001,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2001,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2001,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2001,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2001,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2001,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2001,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2001,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2001,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2001,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2002,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2002,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2002,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2002,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2002,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2002,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2002,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2002,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2002,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2002,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2002,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2002,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2002,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2002,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2002,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2002,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2002,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2002,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2002,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2002,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2002,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2002,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2002,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2002,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2002,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2002,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2002,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2002,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2002,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2002,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2002,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2002,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2002,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2002,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2002,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2003,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2003,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2003,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2003,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2003,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2003,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2003,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2003,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2003,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2003,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2003,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2003,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2003,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2003,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2003,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2003,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2003,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2003,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2003,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2003,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2003,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2003,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2003,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2003,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2003,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2003,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2003,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2003,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2003,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2003,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2003,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2003,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2003,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2003,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2003,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2004,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2004,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2004,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2004,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2004,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2004,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2004,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2004,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2004,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2004,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2004,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2004,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2004,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2004,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2004,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2004,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2004,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2004,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2004,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2004,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2004,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2004,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2004,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2004,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2004,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2004,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2004,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2004,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2004,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2004,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2004,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2004,Dallas Mavericks*
15,36,46,.439,20.0,109.3,110.3,-0.84,2004,New Orleans Pelicans*
16,34,48,.415,22.0,113.2,113.0,0.02,2004,San Antonio Spurs
17,20,62,.244,36.0,109.7,118.2,-8.26,2004,Houston Rockets
0,51,31,.622,—,111.8,104.5,7.02,2005,Boston Celtics*
1,51,31,.622,—,109.9,107.3,2.57,2005,Philadelphia 76ers*
2,48,34,.585,3.0,109.4,107.1,2.38,2005,Toronto Raptors*
3,44,38,.537,7.0,112.9,112.1,0.82,2005,Brooklyn Nets*
4,37,45,.451,14.0,106.5,106.6,-0.01,2005,New York Knicks
5,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,2005,Central Division
6,51,31,.622,—,115.5,112.1,3.22,2005,Milwaukee Bucks*
7,46,36,.561,5.0,111.6,112.0,-0.38,2005,Chicago Bulls*
8,44,38,.537,7.0,107.8,105.7,2.04,2005,Cleveland Cavaliers
9,25,57,.305,26.0,111.5,114.9,-3.26,2005,Indiana Pacers
10,23,59,.280,28.0,104.8,112.5,-7.36,2005,Detroit Pistons
11,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,Southeast Division,2005,Southeast Division
12,53,29,.646,—,110.0,105.6,4.23,2005,Miami Heat*
13,43,39,.524,10.0,113.9,112.4,1.55,2005,Atlanta Hawks*
14,43,39,.524,10.0,115.3,114.9,0.53,2005,Charlotte Hornets
15,35,47,.427,18.0,108.6,112.0,-3.23,2005,Washington Wizards
16,22,60,.268,31.0,104.2,112.2,-7.67,2005,Orlando Magic
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2005,Northwest Division
1,49,33,.598,—,113.6,107.6,5.67,2005,Utah Jazz*
2,48,34,.585,1.0,112.7,110.4,2.16,2005,Denver Nuggets*
3,46,36,.561,3.0,115.9,113.3,2.53,2005,Minnesota Timberwolves*
4,27,55,.329,22.0,106.2,115.1,-8.55,2005,Portland Trail Blazers
5,24,58,.293,25.0,103.7,111.8,-7.90,2005,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2005,Pacific Division
7,64,18,.780,—,114.8,107.3,6.94,2005,Phoenix Suns*
8,53,29,.646,11.0,111.0,105.5,5.52,2005,Golden State Warriors*
9,42,40,.512,22.0,108.4,108.4,0.09,2005,Los Angeles Clippers
10,33,49,.402,31.0,112.1,115.1,-3.08,2005,Los Angeles Lakers
11,30,52,.366,34.0,110.3,115.8,-5.26,2005,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2005,Southwest Division
13,56,26,.683,—,115.6,109.9,5.37,2005,Memphis Grizzlies*
14,52,30,.634,4.0,108.0,104.7,3.12,2005,Dallas Mavericks*
